NGANo: csz002_sd10-A00692-EW 
Zeta: 0.050000 
Ds5-95: 100.160000 
Comments:  
Period, SD, SV, SA
0.010000 0.000160 0.010210 63.204691  
0.020000 0.000651 0.046363 64.357090  
0.030000 0.001518 0.103802 66.138221  
0.040000 0.002719 0.190437 67.294264  
0.050000 0.004439 0.224317 70.957614  
0.060000 0.007201 0.412316 79.195153  
0.070000 0.011061 0.644362 91.695815  
0.080000 0.012022 0.615416 74.198955  
0.090000 0.017293 0.824540 83.097675  
0.100000 0.023327 1.253627 95.706280  
0.110000 0.028236 1.452827 92.184332  
0.120000 0.032369 1.479208 90.447186  
0.130000 0.045515 1.823297 106.635226  
0.140000 0.060006 2.224018 122.208113  
0.150000 0.065140 2.532007 114.655809  
0.160000 0.077276 2.575942 120.826691  
0.170000 0.095279 2.721068 131.285766  
0.180000 0.103045 2.966172 128.011589  
0.190000 0.117456 3.186433 127.344937  
0.200000 0.153412 4.038381 151.231302  
0.210000 0.158770 4.298125 140.802013  
0.220000 0.166569 4.528337 138.656570  
0.230000 0.181560 4.471432 137.360101  
0.240000 0.214606 5.106029 149.119712  
0.250000 0.220207 5.285266 139.427771  
0.260000 0.231094 5.250863 135.723752  
0.270000 0.273845 5.518807 147.944770  
0.280000 0.280235 5.634580 140.405742  
0.290000 0.303876 6.071819 143.329088  
0.300000 0.347492 7.155515 153.450580  
0.310000 0.379118 7.402332 156.669230  
0.320000 0.385879 7.203876 149.504072  
0.330000 0.405479 7.176120 148.411180  
0.340000 0.466824 8.011416 158.939394  
0.350000 0.536204 9.253946 173.194401  
0.360000 0.603868 10.352516 186.031077  
0.370000 0.624234 11.098068 182.777078  
0.380000 0.592388 10.681819 164.364431  
0.390000 0.569519 9.612252 149.975060  
0.400000 0.580722 8.992350 142.634397  
0.410000 0.602164 9.116460 142.379115  
0.420000 0.646768 9.647917 146.777994  
0.430000 0.732652 10.546990 156.395006  
0.440000 0.782322 11.067529 160.045247  
0.450000 0.769687 10.845860 152.234310  
0.460000 0.720056 10.205430 135.140916  
0.470000 0.685109 8.881282 122.118395  
0.480000 0.792077 10.035608 137.297378  
0.490000 0.875491 10.496194 145.261949  
0.500000 0.883369 10.756898 140.239846  
0.510000 0.873023 10.636274 133.589295  
0.520000 0.890760 10.539469 130.861126  
0.530000 0.908138 10.423401 127.939350  
0.540000 0.942760 10.455658 128.427751  
0.550000 1.001866 10.756745 131.145308  
0.560000 1.031049 10.666327 131.355498  
0.570000 1.013522 10.911656 124.043685  
0.580000 1.078546 11.102828 127.837288  
0.590000 1.151348 11.885306 131.167188  
0.600000 1.179438 12.664511 129.663392  
0.610000 1.300581 13.834737 138.189864  
0.620000 1.413893 14.395900 145.466294  
0.630000 1.479151 14.788163 148.027940  
0.640000 1.499589 14.855275 145.978796  
0.650000 1.503441 14.696692 140.726691  
0.660000 1.488184 14.570644 136.014447  
0.670000 1.479817 14.282072 131.373560  
0.680000 1.497389 14.268770 128.356428  
0.690000 1.509956 14.259497 126.068990  
0.700000 1.524894 14.466341 123.485072  
0.710000 1.514514 14.743748 119.595026  
0.720000 1.475701 14.577034 112.621443  
0.730000 1.393250 13.972298 104.084324  
0.740000 1.298848 13.238723 93.844035  
0.750000 1.190389 12.340652 84.400838  
0.760000 1.090482 11.381452 75.077769  
0.770000 1.055101 10.487274 70.497362  
0.780000 1.108346 9.837582 72.373786  
0.790000 1.157833 9.570134 73.619114  
0.800000 1.193517 9.693582 74.040938  
0.810000 1.216872 10.083197 73.626482  
0.820000 1.217305 10.517711 71.950158  
0.830000 1.197554 10.781500 69.011999  
0.840000 1.152315 10.867260 64.873154  
0.850000 1.247860 10.717486 68.374521  
0.860000 1.323682 10.348770 71.056774  
0.870000 1.356144 10.742519 71.386311  
0.880000 1.358012 10.879253 69.599216  
0.890000 1.330112 10.787220 66.819213  
0.900000 1.303714 10.557283 64.233167  
0.910000 1.297275 10.232603 62.445751  
0.920000 1.302790 9.901944 61.166318  
0.930000 1.297638 9.560241 59.740131  
0.940000 1.286360 9.138793 57.948413  
0.950000 1.256183 9.494766 55.257853  
0.960000 1.210160 9.826551 52.341346  
0.970000 1.184734 10.041367 50.099317  
0.980000 1.166732 10.132234 48.224179  
0.990000 1.149274 10.131599 46.534479  
1.000000 1.174528 10.096787 46.729713  
1.010000 1.204539 10.118581 46.932248  
1.020000 1.239974 10.175992 47.332861  
1.030000 1.282061 10.259040 47.960860  
1.040000 1.329726 10.353145 48.907122  
1.050000 1.385991 10.438142 50.003804  
1.060000 1.444049 10.494409 51.075399  
1.070000 1.498693 10.555426 51.977837  
1.080000 1.549149 10.547697 52.840744  
1.090000 1.597625 10.465849 53.450144  
1.100000 1.636562 10.312178 53.718722  
1.110000 1.671241 10.108609 53.944830  
1.120000 1.700430 9.882478 53.870790  
1.130000 1.717052 9.583877 53.484945  
1.140000 1.730643 9.220412 52.966829  
1.150000 1.732597 9.374109 52.082085  
1.160000 1.725270 9.559405 51.066419  
1.170000 1.722069 9.730605 50.084804  
1.180000 1.715991 9.898281 49.052454  
1.190000 1.708171 10.059682 48.003237  
1.200000 1.701889 10.218733 47.086044  
1.210000 1.693191 10.363827 46.066738  
1.220000 1.673145 10.471790 44.775918  
1.230000 1.641231 10.517555 43.226448  
1.240000 1.601696 10.514873 41.509507  
1.250000 1.549874 10.452389 39.533713  
1.260000 1.491635 10.323560 37.457853  
1.270000 1.437740 10.158471 35.508641  
1.280000 1.390907 9.992639 33.824498  
1.290000 1.362025 9.854930 32.512490  
1.300000 1.369334 9.758393 32.192480  
1.310000 1.383482 9.698308 32.047868  
1.320000 1.399200 9.657602 31.930970  
1.330000 1.412172 9.615598 31.744069  
1.340000 1.424256 9.567417 31.550914  
1.350000 1.426656 9.503233 31.152257  
1.360000 1.425286 9.403365 30.646335  
1.370000 1.419156 9.265951 29.977152  
1.380000 1.415182 9.093857 29.482203  
1.390000 1.406075 8.894839 28.882792  
1.400000 1.389287 8.681079 28.142197  
1.410000 1.368077 8.467699 27.331472  
1.420000 1.346651 8.270424 26.533446  
1.430000 1.325804 8.102937 25.764570  
1.440000 1.309089 7.974504 25.091699  
1.450000 1.299402 7.888293 24.565945  
1.460000 1.298446 7.840721 24.213775  
1.470000 1.306396 7.822170 24.032360  
1.480000 1.321916 7.819238 23.991556  
1.490000 1.342582 7.818052 24.043216  
1.500000 1.365609 7.807473 24.134959  
1.510000 1.388567 7.780984 24.222982  
1.520000 1.409827 7.736746 24.279247  
1.530000 1.430098 7.676297 24.292497  
1.540000 1.448941 7.602819 24.302666  
1.550000 1.465697 7.519689 24.277066  
1.560000 1.480828 7.429512 24.224490  
1.570000 1.494746 7.340868 24.152603  
1.580000 1.507600 7.248812 24.064668  
1.590000 1.519137 7.148685 23.957464  
1.600000 1.531700 7.038163 23.821464  
1.610000 1.541476 6.915437 23.686716  
1.620000 1.547546 6.780338 23.501626  
1.630000 1.549323 6.634960 23.255884  
1.640000 1.546780 6.483551 22.950806  
1.650000 1.540516 6.331820 22.596806  
1.660000 1.533212 6.185960 22.211975  
1.670000 1.525613 6.051694 21.819483  
1.680000 1.518432 5.933452 21.451625  
1.690000 1.513495 5.946995 21.137934  
1.700000 1.512451 5.982421 20.882582  
1.710000 1.516512 5.993429 20.700586  
1.720000 1.526220 5.982077 20.597432  
1.730000 1.541291 5.950691 20.567526  
1.740000 1.560608 5.901190 20.594584  
1.750000 1.582360 5.834835 20.653910  
1.760000 1.604270 5.856662 20.715761  
1.770000 1.625400 5.939572 20.748844  
1.780000 1.643929 6.013950 20.723336  
1.790000 1.655885 6.071254 20.631993  
1.800000 1.659346 6.194719 20.470431  
1.810000 1.652967 6.326327 20.193761  
1.820000 1.639034 6.439290 19.797901  
1.830000 1.616583 6.526304 19.289380  
1.840000 1.584849 6.582229 18.709301  
1.850000 1.545690 6.604735 18.075000  
1.860000 1.501576 6.594593 17.393689  
1.870000 1.456674 6.555530 16.697999  
1.880000 1.412782 6.493674 16.018933  
1.890000 1.371198 6.416700 15.382279  
1.900000 1.333744 6.332817 14.806078  
1.910000 1.301502 6.249797 14.299468  
1.920000 1.274781 6.174167 13.862909  
1.930000 1.257317 6.110689 13.489592  
1.940000 1.247857 6.062144 13.218250  
1.950000 1.242982 6.029824 13.029954  
1.960000 1.242314 6.012647 12.888267  
1.970000 1.245181 6.009065 12.784637  
1.980000 1.250779 6.017009 12.709618  
1.990000 1.258301 6.034231 12.654175  
2.000000 1.267007 6.058605 12.619028  
2.010000 1.276255 6.088261 12.593037  
2.020000 1.285471 6.121565 12.567970  
2.030000 1.294743 6.157005 12.538629  
2.040000 1.304210 6.193048 12.499854  
2.050000 1.312125 6.228011 12.446206  
2.060000 1.317814 6.259984 12.382551  
2.070000 1.320544 6.286821 12.304148  
2.080000 1.321181 6.306186 12.193951  
2.090000 1.318591 6.315657 12.045962  
2.100000 1.318119 6.312871 11.972422  
2.110000 1.352611 6.295691 12.162556  
2.120000 1.384950 6.262373 12.329002  
2.130000 1.414132 6.211724 12.478436  
2.140000 1.441152 6.143210 12.596781  
2.150000 1.464279 6.057008 12.672155  
2.160000 1.482075 5.953995 12.700220  
2.170000 1.494079 5.835656 12.684687  
2.180000 1.502589 5.704822 12.639230  
2.190000 1.505801 5.629355 12.544459  
2.200000 1.503059 5.606574 12.402547  
2.210000 1.495795 5.575031 12.235669  
2.220000 1.485075 5.537162 12.034041  
2.230000 1.469154 5.552549 11.794650  
2.240000 1.448361 5.568374 11.535738  
