NGANo: csz002_sd10-A00692-NS 
Zeta: 0.050000 
Ds5-95: 96.100000 
Comments:  
Period, SD, SV, SA
0.010000 0.000147 0.009937 58.217208  
0.020000 0.000603 0.041141 59.084097  
0.030000 0.001327 0.121671 59.229777  
0.040000 0.002587 0.151036 64.555459  
0.050000 0.003834 0.267784 60.182650  
0.060000 0.006465 0.372374 69.843869  
0.070000 0.007743 0.459254 62.404093  
0.080000 0.012287 0.666163 76.768820  
0.090000 0.015582 0.761750 75.623102  
0.100000 0.022738 0.989166 91.849824  
0.110000 0.030974 1.212148 99.959858  
0.120000 0.041162 1.683332 111.909235  
0.130000 0.059313 2.374463 135.844469  
0.140000 0.055321 1.920585 113.883367  
0.150000 0.074968 2.448088 134.523607  
0.160000 0.075481 2.455603 116.494232  
0.170000 0.092975 3.023306 128.011392  
0.180000 0.110647 3.615218 136.136579  
0.190000 0.108517 3.329947 119.834330  
0.200000 0.131851 3.972204 130.479676  
0.210000 0.144045 4.084539 130.621614  
0.220000 0.167011 4.638202 137.647005  
0.230000 0.184305 4.914646 140.013459  
0.240000 0.196785 4.742422 136.354906  
0.250000 0.248231 6.070508 155.018128  
0.260000 0.292380 7.071005 174.643403  
0.270000 0.304960 6.889614 165.776408  
0.280000 0.301820 6.812672 153.173216  
0.290000 0.283563 6.088740 134.528894  
0.300000 0.360222 7.248023 160.441318  
0.310000 0.388909 7.490412 161.293041  
0.320000 0.372743 6.855980 145.888182  
0.330000 0.370474 6.820242 133.784573  
0.340000 0.379630 7.371988 129.195365  
0.350000 0.417699 7.369490 136.313340  
0.360000 0.467364 8.042043 144.568419  
0.370000 0.453938 8.121121 130.231672  
0.380000 0.453881 7.581364 123.986118  
0.390000 0.503421 8.282013 130.270132  
0.400000 0.594003 9.607631 147.513926  
0.410000 0.668990 10.513022 159.427614  
0.420000 0.735697 10.731048 165.866599  
0.430000 0.742712 10.792374 160.001499  
0.440000 0.726624 10.158548 148.908992  
0.450000 0.808810 10.755308 158.442449  
0.460000 0.878320 11.609305 163.787296  
0.470000 0.953149 12.473274 171.921784  
0.480000 1.041617 13.522520 178.812015  
0.490000 1.076210 14.050562 176.640416  
0.500000 1.035742 13.564684 164.088232  
0.510000 0.975068 12.734790 149.421350  
0.520000 0.935065 11.909000 136.447121  
0.530000 0.865234 11.026697 122.523161  
0.540000 0.915990 10.492145 124.363073  
0.550000 0.996253 11.005310 130.548731  
0.560000 1.039357 11.780174 132.412962  
0.570000 1.055515 12.117181 129.005042  
0.580000 1.030123 11.961058 120.851444  
0.590000 1.021600 11.597267 116.061037  
0.600000 1.077172 11.211656 118.475742  
0.610000 1.097304 11.311454 117.633395  
0.620000 1.131477 11.695733 116.306410  
0.630000 1.188495 12.340736 119.244287  
0.640000 1.260214 13.169255 122.351230  
0.650000 1.294032 13.541027 121.533447  
0.660000 1.311016 13.252152 119.294433  
0.670000 1.269391 12.336358 112.080758  
0.680000 1.187348 11.686796 102.082381  
0.690000 1.229622 11.721582 102.776224  
0.700000 1.260630 11.574313 102.223290  
0.710000 1.237112 11.059291 97.833609  
0.720000 1.292001 11.777866 99.197875  
0.730000 1.414183 13.059106 105.218340  
0.740000 1.520681 14.257480 110.537419  
0.750000 1.649462 15.110933 116.298759  
0.760000 1.728205 15.467160 118.340556  
0.770000 1.752838 15.231836 117.257597  
0.780000 1.731800 14.711105 113.312525  
0.790000 1.696622 13.919905 107.703548  
0.800000 1.653843 13.664150 102.711696  
0.810000 1.618194 13.438977 97.779084  
