NGANo: csz011-A11923-EW 
Zeta: 0.050000 
Ds5-95: 102.900000 
Comments:  
Period, SD, SV, SA
0.010000 0.000244 0.009582 96.388226  
0.020000 0.000963 0.045270 95.205711  
0.030000 0.002160 0.069367 94.660734  
0.040000 0.003954 0.097247 97.947925  
0.050000 0.006229 0.156753 98.212836  
0.060000 0.008799 0.205467 96.482504  
0.070000 0.012377 0.235981 99.493167  
0.080000 0.015633 0.402574 96.093249  
0.090000 0.022622 0.484208 110.800067  
0.100000 0.030701 0.631424 121.801651  
0.110000 0.037606 1.008956 123.017451  
0.120000 0.041009 0.961487 112.904995  
0.130000 0.041221 1.117648 96.233542  
0.140000 0.053581 1.273593 108.278533  
0.150000 0.060223 1.881328 105.856386  
0.160000 0.072190 1.944793 112.005322  
0.170000 0.084703 2.420792 116.039226  
0.180000 0.116207 3.641614 143.494196  
0.190000 0.147421 4.603984 164.145930  
0.200000 0.141385 3.907221 140.755697  
0.210000 0.150961 3.460110 134.930253  
0.220000 0.164821 3.482021 134.749381  
0.230000 0.222834 3.025678 165.457625  
0.240000 0.259861 3.459930 177.078329  
0.250000 0.274815 3.900193 172.933020  
0.260000 0.256361 5.341916 148.834679  
0.270000 0.268434 5.847800 146.284899  
0.280000 0.284559 6.070964 142.057424  
0.290000 0.323059 6.575037 151.326040  
0.300000 0.373116 7.389022 164.098854  
0.310000 0.408695 7.851435 169.924556  
0.320000 0.434235 7.905637 166.972659  
0.330000 0.470455 8.638179 172.558363  
0.340000 0.494093 9.085307 171.180257  
0.350000 0.466748 8.424285 151.855177  
0.360000 0.484479 7.466161 147.639996  
0.370000 0.531979 6.827219 153.433933  
0.380000 0.576856 6.028298 158.971242  
0.390000 0.591866 6.064556 154.503767  
0.400000 0.567043 6.372956 140.652421  
0.410000 0.544796 6.532469 127.811438  
0.420000 0.579858 7.075290 130.835045  
0.430000 0.644034 8.160703 138.178967  
0.440000 0.732472 8.953787 150.625043  
0.450000 0.781128 8.957586 152.537971  
0.460000 0.812826 8.459860 151.478037  
0.470000 0.886254 8.508863 158.282808  
0.480000 0.935501 8.528138 160.700416  
0.490000 0.941091 8.254567 155.694265  
0.500000 0.930410 7.813576 147.595168  
0.510000 0.923781 7.306133 140.392687  
0.520000 0.909194 6.765300 132.929226  
0.530000 0.897203 6.580575 126.620912  
0.540000 0.880492 6.439139 119.218153  
0.550000 0.845985 6.769049 110.460658  
0.560000 0.842919 7.623286 106.529897  
0.570000 0.933441 8.575673 113.598657  
0.580000 1.071849 9.128192 125.824679  
0.590000 1.210225 9.523360 138.032649  
0.600000 1.345563 9.971582 148.135891  
0.610000 1.453698 10.258729 154.874097  
0.620000 1.515360 10.831034 156.450508  
0.630000 1.530040 10.873674 153.038156  
0.640000 1.516892 10.486900 146.818613  
0.650000 1.545297 9.868841 144.542266  
0.660000 1.555929 9.097608 141.133157  
0.670000 1.537665 8.196194 135.336256  
0.680000 1.498594 7.480685 128.184340  
0.690000 1.469810 7.747199 121.968980  
0.700000 1.480460 8.104167 119.378309  
0.710000 1.526910 8.524010 119.780938  
0.720000 1.580805 8.960461 120.658776  
0.730000 1.622741 9.340353 120.426496  
0.740000 1.652946 9.571037 119.282526  
0.750000 1.677647 9.726760 117.967790  
0.760000 1.703349 9.763392 116.648826  
0.770000 1.728473 9.749196 115.198846  
0.780000 1.805480 10.044726 117.298587  
0.790000 1.864977 10.238834 118.154169  
0.800000 1.902248 10.305948 117.552538  
0.810000 1.918242 10.261120 115.723392  
0.820000 1.918427 10.307987 112.971393  
0.830000 1.913919 10.276799 109.957787  
0.840000 1.908391 10.170537 106.915309  
0.850000 1.902901 10.063054 104.246022  
0.860000 1.898831 9.925367 101.689662  
0.870000 2.012454 10.147149 105.284399  
0.880000 2.141260 10.890614 109.428904  
0.890000 2.272859 11.686956 113.554993  
0.900000 2.397418 12.427465 117.290520  
0.910000 2.510320 13.130488 119.962472  
0.920000 2.605303 13.699518 122.053859  
0.930000 2.698159 14.233999 123.543510  
0.940000 2.779896 14.684047 124.545275  
0.950000 2.857965 15.143578 125.521135  
0.960000 2.934132 15.523681 126.076764  
0.970000 3.002198 15.912434 126.325950  
0.980000 3.104869 16.224747 127.912315  
0.990000 3.260476 16.529285 131.800995  
1.000000 3.403767 17.421891 134.724864  
1.010000 3.522811 18.976274 136.855018  
1.020000 3.675298 20.457418 139.951837  
1.030000 3.967474 21.878202 148.172665  
1.040000 4.251250 23.045800 155.753314  
1.050000 4.516247 23.982575 162.358075  
1.060000 4.753452 24.727930 167.727651  
1.070000 4.957277 25.256777 171.740394  
1.080000 5.136379 25.582579 174.441203  
1.090000 5.291389 25.758600 176.529087  
1.100000 5.428836 25.952449 177.943243  
1.110000 5.565386 26.169996 179.007689  
1.120000 5.722841 26.513820 180.880000  
1.130000 5.893057 27.064010 183.012596  
1.140000 6.096623 27.953560 185.919338  
1.150000 6.322386 29.135872 189.498261  
1.160000 6.559881 30.457293 193.271229  
1.170000 6.804703 31.784138 197.011926  
1.180000 7.051890 33.169141 200.716289  
1.190000 7.283605 34.655953 203.877787  
1.200000 7.492463 36.063915 206.259923  
1.210000 7.671760 37.310813 207.718711  
1.220000 7.814278 38.312372 208.131154  
1.230000 7.913008 39.043592 207.366411  
1.240000 7.964123 39.438035 205.370050  
1.250000 7.968677 39.434410 202.227779  
1.260000 7.931341 39.057976 198.117340  
1.270000 7.857945 38.441775 193.227553  
1.280000 7.753756 37.589568 187.719267  
1.290000 7.759902 36.542914 184.844729  
1.300000 7.848538 35.394526 184.103296  
1.310000 7.931591 34.926618 183.237659  
1.320000 8.018585 35.091439 182.468771  
1.330000 8.130143 35.311781 182.193321  
1.340000 8.269034 35.630990 182.557202  
1.350000 8.448152 36.110598 183.764605  
1.360000 8.678966 37.149488 186.025483  
1.370000 8.967669 38.342573 189.427128  
1.380000 9.313455 39.420155 193.906679  
1.390000 9.708457 40.363268 199.260041  
1.400000 10.139388 41.768679 205.184433  
1.410000 10.606382 43.307384 211.497018  
1.420000 11.088587 44.945691 218.077294  
1.430000 11.567250 46.507025 224.409231  
1.440000 12.061863 48.072297 230.657848  
1.450000 12.542293 49.542176 236.668643  
1.460000 13.023732 50.982128 242.275323  
1.470000 13.486448 52.323061 247.635788  
1.480000 13.946232 53.629069 252.497434  
1.490000 14.371689 54.901859 256.883478  
1.500000 14.798982 56.108381 260.908286  
1.510000 15.190909 57.348940 264.159039  
1.520000 15.556733 58.873851 267.207465  
1.530000 15.908333 60.326191 269.568527  
1.540000 16.218437 61.710012 271.184503  
1.550000 16.499222 62.960663 272.566973  
1.560000 16.753409 64.115310 273.110112  
1.570000 16.956851 65.028060 272.856846  
1.580000 17.121644 65.792158 272.269762  
1.590000 17.255996 66.329144 270.818366  
1.600000 17.340130 66.720905 268.674433  
1.610000 17.388555 66.908839 266.306512  
1.620000 17.421691 67.002903 263.365417  
1.630000 17.421360 66.939517 260.067642  
1.640000 17.405174 66.859495 256.872217  
1.650000 17.394753 66.680466 253.441692  
1.660000 17.371379 66.558184 250.087286  
1.670000 17.356584 66.380332 246.974489  
1.680000 17.354404 66.299817 243.839008  
1.690000 17.348200 66.171883 240.989326  
1.700000 17.354884 66.152007 238.268600  
1.710000 17.366127 66.043072 235.494729  
1.720000 17.734163 65.995191 237.621702  
1.730000 18.080032 65.826798 239.375151  
1.740000 18.358498 65.646440 240.229684  
1.750000 18.559365 65.343152 240.208853  
1.760000 18.700794 65.826061 239.168204  
1.770000 18.770030 66.259894 237.380109  
1.780000 18.759720 66.559937 234.731545  
1.790000 18.691097 66.802146 231.148085  
1.800000 18.543234 67.004107 226.773290  
1.810000 18.561283 67.086184 224.872269  
1.820000 18.739194 67.064916 224.483626  
1.830000 18.895974 67.095724 224.091856  
1.840000 19.065541 67.039811 223.488182  
1.850000 19.224927 66.909109 222.965250  
1.860000 19.372551 66.850134 222.447775  
1.870000 19.543157 66.738210 221.813302  
1.880000 19.704778 66.616120 221.325348  
1.890000 19.861483 66.540357 220.892002  
1.900000 20.043291 66.419272 220.393727  
1.910000 20.220070 66.376613 220.038685  
1.920000 20.394870 66.848836 219.802340  
1.930000 20.597887 67.343591 219.528500  
1.940000 20.797714 67.850544 219.380343  
1.950000 20.997501 68.368938 219.380144  
1.960000 21.223148 68.936403 219.318404  
1.970000 21.440859 69.550078 219.357053  
1.980000 21.660107 70.154733 219.449700  
1.990000 21.887948 70.736031 219.372213  
2.000000 22.094513 71.277524 219.401666  
2.010000 22.309768 71.818103 219.236322  
2.020000 22.500234 72.337429 218.927659  
2.030000 22.680152 72.772864 218.527784  
2.040000 22.888100 73.185532 218.154170  
2.050000 23.125180 73.560556 218.339197  
2.060000 23.353164 73.941524 218.254467  
2.070000 23.552113 74.372327 218.065105  
2.080000 23.740226 74.756430 217.711152  
2.090000 23.910640 75.062464 217.084568  
2.100000 24.050604 75.345874 216.433545  
2.110000 24.189000 75.517246 215.553819  
2.120000 24.299224 75.576651 214.448226  
2.130000 24.384726 75.592158 213.321958  
2.140000 24.463881 75.548354 211.936620  
2.150000 24.511266 75.394514 210.395195  
2.160000 24.541686 75.151189 208.778725  
2.170000 24.558314 74.901243 206.929190  
2.180000 24.545755 74.553569 204.975007  
2.190000 24.523696 74.116839 202.958633  
2.200000 24.488151 73.696709 200.769727  
2.210000 24.430565 73.209717 198.512309  
2.220000 24.368264 72.679099 196.274210  
2.230000 24.301797 72.171123 193.943234  
2.240000 24.222411 71.620746 191.549196  
2.250000 24.136235 71.119218 189.279273  
2.260000 24.061870 70.588836 186.995809  
2.270000 23.981797 70.043397 184.705499  
2.280000 23.897891 69.549540 182.428661  
2.290000 23.816684 69.040710 180.303499  
2.300000 23.747024 68.519807 178.192575  
2.310000 23.675229 68.001534 176.098536  
2.320000 23.601293 67.524097 174.020906  
2.330000 23.525272 67.033612 172.041057  
2.340000 23.462593 66.529233 170.102084  
2.350000 23.395694 66.009787 168.161838  
2.360000 23.323838 65.525470 166.215212  
2.370000 23.246303 65.028269 164.266643  
2.380000 23.170661 64.510821 162.398897  
2.390000 23.095227 63.972800 160.508159  
2.400000 23.012198 63.421515 158.592885  
2.410000 22.921466 62.893680 156.653075  
2.420000 22.823162 62.345476 154.712810  
2.430000 22.727395 61.778909 152.818377  
2.440000 22.628365 61.196546 150.903224  
2.450000 22.522892 60.601429 148.973181  
2.460000 22.411950 59.996949 147.035104  
2.470000 22.296662 59.404738 145.096559  
2.480000 22.179377 58.827821 143.203180  
2.490000 22.069215 58.250004 141.348694  
2.500000 21.957694 57.674797 139.511681  
2.510000 21.846034 57.105435 137.699469  
2.520000 21.735374 56.544797 135.918656  
2.530000 21.626744 55.995346 134.174955  
2.540000 21.521045 55.459111 132.473104  
2.550000 21.419037 54.937677 130.816842  
2.560000 21.322721 54.432203 129.210981  
2.570000 21.235514 53.943448 127.684767  
2.580000 21.152981 53.471805 126.206535  
2.590000 21.075377 53.017338 124.776787  
2.600000 21.002838 52.591594 123.395289  
2.610000 21.211603 52.185933 123.430818  
2.620000 21.805102 51.795157 125.921941  
2.630000 22.418175 51.418420 128.485719  
2.640000 23.045605 51.054693 131.090946  
2.650000 23.682147 50.702812 133.707189  
2.660000 24.335722 50.361525 136.354900  
2.670000 24.991670 51.082375 138.996380  
2.680000 25.644176 52.393428 141.575381  
2.690000 26.307464 53.724558 144.145327  
2.700000 26.958844 55.069838 146.642179  
2.710000 27.611524 56.426477 149.062239  
2.720000 28.250857 57.792750 151.418840  
2.730000 28.886973 59.150696 153.665958  
2.740000 29.503517 60.462397 155.831623  
2.750000 30.118728 61.760661 157.891956  
2.760000 30.712290 62.993421 159.826525  
2.770000 31.294549 64.171308 161.696670  
2.780000 31.864235 65.319927 163.424952  
2.790000 32.412900 66.390359 165.055878  
2.800000 32.951158 67.418168 166.606810  
2.810000 33.475616 68.394719 168.032010  
2.820000 33.979338 69.289363 169.357111  
2.830000 34.471867 70.167788 170.626383  
2.840000 34.952239 70.972869 171.777331  
2.850000 35.410770 71.714561 172.829075  
2.860000 35.862093 72.438129 173.837438  
2.870000 36.298604 73.087013 174.720612  
2.880000 36.713717 73.694852 175.545846  
2.890000 37.130301 74.274357 176.289104  
2.900000 37.527758 74.783713 176.923820  
2.910000 37.910272 75.296746 177.548067  
2.920000 38.292203 75.743040 178.068830  
2.930000 38.656126 76.182251 178.525900  
2.940000 39.006767 76.577662 178.953824  
2.950000 39.353738 76.965295 179.294170  
2.960000 39.941588 77.369731 180.796352  
2.970000 40.553769 77.815141 182.303730  
2.980000 41.141682 78.253522 183.742988  
2.990000 41.714111 78.843382 185.081193  
3.000000 42.268485 80.204937 186.275958  
3.010000 42.792826 81.468919 187.354241  
3.020000 43.292654 82.524106 188.329041  
3.030000 43.775417 83.465111 189.137313  
3.040000 44.223981 84.216133 189.825560  
3.050000 44.640764 84.798787 190.410758  
3.060000 45.041698 85.255111 190.829163  
3.070000 45.406482 85.554472 191.119853  
3.080000 45.735399 85.722087 191.308136  
3.090000 46.051683 85.768704 191.335094  
3.100000 46.331358 85.705764 191.250646  
3.110000 46.575074 85.519277 191.080595  
3.120000 46.807404 86.754503 190.761968  
3.130000 47.003439 88.041386 190.353597  
3.140000 47.171846 89.242909 189.851452  
3.150000 47.326122 90.339857 189.207058  
3.160000 47.447705 91.318949 188.546755  
3.170000 47.556031 92.208584 187.761649  
3.180000 47.645213 92.946336 186.920933  
3.190000 47.708968 93.553207 186.030957  
3.200000 47.771810 94.035552 185.052835  
3.210000 47.808113 94.391159 184.095174  
3.220000 47.843201 94.671893 183.050167  
3.230000 47.862201 94.889021 182.016478  
3.240000 47.875629 95.047302 180.926298  
3.250000 47.883834 95.146182 179.849187  
3.260000 47.884789 95.147054 178.743762  
3.270000 47.887680 95.062134 177.657982  
3.280000 47.885013 94.894684 176.567919  
3.290000 47.887776 94.635156 175.505481  
3.300000 47.890064 94.319095 174.445033  
3.310000 47.898351 93.911347 173.435680  
3.320000 47.913976 93.465689 172.415505  
3.330000 47.933880 92.935094 171.487074  
3.340000 47.971067 92.375384 170.560642  
3.350000 48.009031 91.745479 169.707564  
3.360000 48.075805 91.085434 168.903732  
3.370000 48.147743 90.377029 168.144160  
3.380000 48.242590 89.610769 167.485134  
3.390000 48.356099 88.841040 166.865725  
3.400000 48.485354 87.999960 166.343948  
3.410000 48.646967 87.141449 165.898699  
3.420000 48.823658 86.811621 165.514288  
3.430000 49.032400 87.083645 165.255453  
3.440000 49.265148 87.394808 165.057092  
3.450000 49.522943 87.747670 164.957681  
3.460000 49.814833 88.144176 164.954653  
3.470000 50.126279 88.596618 165.018342  
3.480000 50.478647 89.110879 165.208264  
3.490000 50.850134 89.670890 165.456439  
3.500000 51.258343 90.276167 165.819301  
3.510000 51.688386 90.925556 166.244705  
3.520000 52.151811 91.625661 166.781095  
3.530000 52.636934 92.387455 167.366603  
3.540000 53.153589 93.187393 168.061919  
3.550000 53.688657 94.022124 168.794228  
3.560000 54.256101 94.887795 169.619441  
3.570000 54.839428 95.812609 170.482510  
3.580000 55.451015 96.764410 171.410166  
3.590000 56.084213 97.735105 172.383923  
3.600000 56.734814 98.732181 173.391584  
3.610000 57.407810 99.767969 174.467549  
