NGANo: csz019-A00692-NS 
Zeta: 0.050000 
Ds5-95: 138.400000 
Comments:  
Period, SD, SV, SA
0.010000 0.000125 0.009574 49.388777  
0.020000 0.000518 0.045329 51.467207  
0.030000 0.001106 0.076738 48.289052  
0.040000 0.002161 0.177795 53.231646  
0.050000 0.004031 0.224801 63.317066  
0.060000 0.005121 0.271040 56.247319  
0.070000 0.006994 0.372188 56.845437  
0.080000 0.011235 0.537593 70.892420  
0.090000 0.016055 0.815097 76.143435  
0.100000 0.020999 1.107224 85.343940  
0.110000 0.028467 1.367794 94.837672  
0.120000 0.032654 1.546821 89.770922  
0.130000 0.035799 1.369256 84.416840  
0.140000 0.043332 1.645714 86.778476  
0.150000 0.050333 1.804019 90.385040  
0.160000 0.058776 2.091928 92.944895  
0.170000 0.080954 2.686782 111.916783  
0.180000 0.096067 3.088324 116.160385  
0.190000 0.108089 3.140877 117.685824  
0.200000 0.121260 3.112898 121.218899  
0.210000 0.149183 3.539125 132.363846  
0.220000 0.170313 3.927401 141.536902  
0.230000 0.181963 3.948931 135.295014  
0.240000 0.209221 4.484274 145.375050  
0.250000 0.232865 4.987793 146.271869  
0.260000 0.285616 5.822055 166.447453  
0.270000 0.333112 6.512744 178.731834  
0.280000 0.364221 7.255878 185.706230  
0.290000 0.356806 7.149763 169.565847  
0.300000 0.332924 6.606878 144.681634  
0.310000 0.334802 6.374638 138.561765  
0.320000 0.331817 6.095818 128.537127  
0.330000 0.346922 6.147501 124.775306  
0.340000 0.406674 7.192788 139.581591  
0.350000 0.449864 7.536765 146.906635  
0.360000 0.525309 8.288202 161.658659  
0.370000 0.549270 8.801034 159.653491  
0.380000 0.543470 8.660713 148.630878  
0.390000 0.551882 8.953127 142.631753  
0.400000 0.551254 8.894489 135.580764  
0.410000 0.588350 8.417589 138.492336  
0.420000 0.675924 9.463844 151.856234  
0.430000 0.751374 10.608340 160.374279  
0.440000 0.749405 10.339666 153.525653  
0.450000 0.692742 9.199167 135.222730  
0.460000 0.655271 9.084911 123.466712  
0.470000 0.740272 10.161259 133.316847  
0.480000 0.856000 11.242848 146.629624  
0.490000 0.936942 11.857765 153.701294  
0.500000 0.934912 11.563618 147.277599  
0.510000 0.898838 11.022209 136.366455  
0.520000 0.914061 11.156863 133.607409  
0.530000 0.887793 10.994765 125.916170  
0.540000 0.947022 10.792422 128.198063  
0.550000 0.974047 10.663658 128.544018  
0.560000 0.971479 10.714198 122.151815  
0.570000 0.957232 10.832066 117.241720  
0.580000 0.945298 10.341534 111.765184  
0.590000 0.934343 9.967646 105.952490  
